MemberID,FullName,Email,Phone,Address,MembershipDate
1,Alice Johnson,alice@example.com,1234567890,123 Main St,2022-01-15
2,Bob Smith,bob@example.com,9876543210,456 Elm St,2021-12-10
3,Charlie Brown,charlie@example.com,1112223333,789 Oak St,2023-03-22
4,David Lee,david@example.com,5554443333,101 Maple St,2022-05-13
5,Emily Davis,emily@example.com,2223334444,202 Birch St,2022-11-01
6,Frank White,frank@example.com,3334445555,303 Pine St,2023-07-18
7,Grace Clark,grace@example.com,4445556666,404 Cedar St,2022-09-25
8,Hannah Lewis,hannah@example.com,5556667777,505 Redwood St,2021-08-30
9,Isaac Walker,isaac@example.com,6667778888,606 Sequoia St,2023-02-12
10,Jack Scott,jack@example.com,7778889999,707 Birchwood St,2021-10-07
11,Kara Young,kara@example.com,8889990000,808 Chestnut St,2023-05-16
12,Liam King,liam@example.com,9990001111,909 Spruce St,2023-09-03
13,Mia Harris,mia@example.com,0001112222,1010 Willow St,2022-12-19
14,Noah Turner,noah@example.com,1112223333,1111 Ash St,2021-07-04
15,Olivia Martinez,olivia@example.com,2223334444,1212 Fir St,2023-04-25
16,Paul Rodriguez,paul@example.com,3334445555,1313 Maplewood St,2022-02-28
17,Quinn Lee,quinn@example.com,4445556666,1414 Sycamore St,2023-08-21
18,Rachel Green,rachel@example.com,5556667777,1515 Larch St,2021-09-15
19,Samuel Adams,samuel@example.com,6667778888,1616 Cedarwood St,2022-06-11
20,Tina Clark,tina@example.com,7778889999,1717 Elmwood St,2023-01-09
21,Ursula White,ursula@example.com,8889990000,1818 Chestnutwood St,2022-04-06
22,Victor Kim,victor@example.com,9990001111,1919 Oakwood St,2021-11-17
23,Wendy Johnson,wendy@example.com,0001112222,2020 Willowwood St,2023-06-27
24,Xander Wright,xander@example.com,1112223333,2121 Pinewood St,2022-03-15
25,Yasmine Bell,yasmine@example.com,2223334444,2222 Birchwood St,2023-12-10
26,Zane Parker,zane@example.com,3334445555,2323 Firwood St,2021-05-20
27,Aaron Brooks,aaron@example.com,4445556666,2424 Maplewood St,2023-10-14
28,Bella James,bella@example.com,5556667777,2525 Sequoiawood St,2022-08-22
29,Carlos Sanchez,carlos@example.com,6667778888,2626 Oakwood St,2023-11-02
30,Diana Foster,diana@example.com,7778889999,2727 Redwoodwood St,2021-04-10
31,Eva Peterson,eva@example.com,8889990000,2828 Cedarwood St,2024-02-20
32,Zara Woods,zara@example.com,5556667777,789 Pine St,2024-02-20
33,peter,petersha@gmail.com,9844586445,jhapa,2025-03-04
